time,displacement_u_y,load_rf_y,nonlinear_iterations,simulation_time,sum_nonlinear_iterations,total_increments
0,0,0,0,0,0,0
0.01,0,0,0,2.051642975,0,1
0.025,0.00035124107969876,3.481715495635,1,3.922333371,1,2
0.0475,0.000693273154432,6.7132725177469,1,5.923291335,2,3
0.08125,0.00117385563269,11.390915919167,1,7.708692215,3,4
0.131875,0.0019178222670461,18.5868275827,1,9.438534336,4,5
0.2078125,0.0030153086756279,29.440278544983,1,11.160896739,5,6
0.32171875,0.0046769559070757,45.662884011431,1,12.96178147,6,7
0.492578125,0.0071573327704183,70.076201303454,1,14.704735487,7,8
0.7488671875,0.010887319674051,106.60194504175,1,16.461618038,8,9
1.13330078125,0.016472974670387,161.53105653466,1,18.249554332,9,10
1.63330078125,0.023780922827007,234.79840963498,1,19.997570702,10,11
2.13330078125,0.03114797909689,311.97862544185,1,21.73039886,11,12
2.63330078125,0.038500579149456,387.91196841908,1,23.503947855,12,13
3.13330078125,0.045853248800022,464.30543081116,1,25.233346975,13,14
3.63330078125,0.053210321987851,540.47811543896,1,26.95609298,14,15
4.13330078125,0.060561603797853,616.78656335917,1,28.702250643,15,16
4.63330078125,0.067918972060332,692.99549277551,1,30.464938083,16,17
5.13330078125,0.075270198451048,769.30150714223,1,32.213035528,17,18
5.63330078125,0.082627922610522,845.49951633741,1,33.970692773,18,19
6.13330078125,0.089979270492546,921.79215337889,1,35.733792548,19,20
6.63330078125,0.097336989755007,997.989757692,1,37.47910414,20,21
7.13330078125,0.10468818139848,1074.2937625814,1,39.23360454,21,22
7.63330078125,0.11204596973728,1150.4963304264,1,40.990363374,22,23
8.13330078125,0.11939720778047,1226.7967819465,1,42.737913619,23,24
8.63330078125,0.12675513568421,1302.9903227597,1,44.510793169,24,25
9.13330078125,0.13410626765922,1379.289705968,1,46.305804378,25,26
9.63330078125,0.14146411631539,1455.4882648428,1,48.1067674,26,27
10.13330078125,0.1488150596274,1531.7970326084,1,49.868456547,27,28
10.63330078125,0.15617309800669,1607.9885105884,1,51.600683194,28,29
11.13330078125,0.16352373748603,1684.3053203808,1,53.401402396,29,30
11.63330078125,0.17088196983787,1760.5017671386,1,55.162734282,30,31
12.13330078125,0.17823280131971,1836.8054984216,1,56.932274591,31,32
12.63330078125,0.18559106174299,1912.997330826,1,58.657172839,32,33
13.13330078125,0.19294192898041,1989.3017096298,1,60.386737481,33,34
13.63330078125,0.20030028085669,2065.4913358324,1,62.158856579,34,35
14.13330078125,0.20765119964467,2141.7946013321,1,63.963967107,35,36
14.63330078125,0.21500969706888,2217.9803389333,1,65.726932099,36,37
15.13330078125,0.22236063608088,2294.2811843822,1,67.504667601,37,38
15.63330078125,0.22971916257315,2370.4654311916,1,69.270496995,38,39
16.13330078125,0.23707073672164,2446.7533481894,1,71.089461875,39,40
16.63330078125,0.24443033133864,2522.9081537866,1,72.942472945,40,41
17.13330078125,0.25178051400813,2599.2043571371,1,74.76017464,41,42
17.63330078125,0.2591383772813,2675.3895784191,1,76.649786661,42,43
18.13330078125,0.26648811315501,2751.7040395246,1,78.48806693,43,44
18.63330078125,0.27384642366121,2827.9114348958,1,80.309153647,44,45
19.13330078125,0.28119723618494,2904.2042106312,1,82.061407352,45,46
19.63330078125,0.28855537231747,2980.3685185872,1,83.875220043,46,47
20.13330078125,0.29590560858488,3056.6869782167,1,85.684516377,47,48
20.63330078125,0.30326408711425,3132.8814889888,1,87.446487503,48,49
21.13330078125,0.31061434627364,3209.1986847301,1,89.208731603,49,50
21.63330078125,0.31797289750543,3285.3877627811,1,90.971513918,50,51
22.13330078125,0.32532303815302,3361.7094182303,1,92.735489223,51,52
22.63330078125,0.33268176130918,3437.8954346426,1,94.506462846,52,53
23.13330078125,0.34003198915273,3514.2078315549,1,96.266989262,53,54
23.63330078125,0.34739076863029,3590.3890900828,1,98.034302235,54,55
24.13330078125,0.35474091524255,3666.7049054868,1,99.861183567,55,56
24.63330078125,0.3620997484059,3742.8875805472,1,101.707985594,56,57
25.13330078125,0.36945058525639,3819.1625001231,1,103.526283003,57,58
25.63330078125,0.37680819062343,3895.384663526,1,105.341950616,58,59
26.13330078125,0.38415902639023,3971.7073956772,1,107.105561077,59,60
26.63330078125,0.39151745760531,4047.8868150248,1,108.880188599,60,61
27.13330078125,0.39886784849405,4124.2042270624,1,110.71162187,61,62
27.63330078125,0.40622662094256,4200.382629849,1,112.471436568,62,63
