U2 RF2
0.000000000000000000e+00 0.000000000000000000e+00
1.097227615287150321e-02 1.122938637733459473e+02
8.160018678640294787e-02 9.352425727844238281e+02
1.539031141923249135e-01 1.795567413330078125e+03
2.262085997071002774e-01 2.656024604797363281e+03
2.985165689620503660e-01 3.516600585937500000e+03
3.708261578726622099e-01 4.377282943725585938e+03
4.431365487034335526e-01 5.238058227539062500e+03
5.154474386773957306e-01 6.098916870117187500e+03
5.877586380104345976e-01 6.959850189208984375e+03
6.600700064670820266e-01 7.820851165771484375e+03
7.323814513493169809e-01 8.681913299560546875e+03
8.046929159778758445e-01 9.543031097412109375e+03
8.677011614928216154e-01 1.030361257934570312e+04
