U2 RF2
0.000000 0.000000
0.000000 0.000000
0.000351 3.481715
0.000693 6.713273
0.001174 11.390916
0.001918 18.586828
0.003015 29.440279
0.004677 45.662884
0.007157 70.076201
0.010887 106.601945
0.016473 161.531057
0.023781 234.798410
0.031148 311.978625
0.038501 387.911968
0.045853 464.305431
0.053210 540.478115
0.060562 616.786563
0.067919 692.995493
0.075270 769.301507
0.082628 845.499516
0.089979 921.792153
0.097337 997.989758
0.104688 1074.293763
0.112046 1150.496330
0.119397 1226.796782
0.126755 1302.990323
0.134106 1379.289706
0.141464 1455.488265
0.148815 1531.797033
0.156173 1607.988511
0.163524 1684.305320
0.170882 1760.501767
0.178233 1836.805498
0.185591 1912.997331
0.192942 1989.301710
0.200300 2065.491336
0.207651 2141.794601
0.215010 2217.980339
0.222361 2294.281184
0.229719 2370.465431
0.237071 2446.753348
0.244430 2522.908154
0.251781 2599.204357
0.259138 2675.389578
0.266488 2751.704040
0.273846 2827.911435
0.281197 2904.204211
0.288555 2980.368519
0.295906 3056.686978
0.303264 3132.881489
0.310614 3209.198685
0.317973 3285.387763
0.325323 3361.709418
0.332682 3437.895435
0.340032 3514.207832
0.347391 3590.389090
0.354741 3666.704905
0.362100 3742.887581
0.369451 3819.162500
0.376808 3895.384664
0.384159 3971.707396
0.391517 4047.886815
0.398868 4124.204227
0.406227 4200.382630
0.413577 4276.700034
0.420936 4352.877903
0.428286 4429.197513
0.435645 4505.376283
0.442995 4581.699966
0.450361 4657.754581
0.457707 4734.112472
0.465065 4810.190511
0.472412 4886.494402
0.479772 4962.646728
0.487119 5038.963246
0.494479 5115.136565
0.501829 5191.421854
0.509188 5267.576008
0.516537 5343.896977
0.523897 5420.065273
0.531246 5496.391021
0.538605 5572.563018
0.545955 5648.891778
0.553314 5725.061506
0.560665 5801.401513
0.568024 5877.565057
0.575373 5953.871424
0.582732 6030.030009
0.590082 6106.374103
0.597442 6182.532416
0.604790 6258.838668
0.612150 6334.999018
0.619499 6411.333984
0.626859 6487.508347
0.634208 6563.842165
0.641568 6640.002314
0.648917 6716.333595
0.656277 6792.504644
0.663626 6868.840580
0.670986 6945.010871
0.678335 7021.346687
0.685695 7097.506562
0.693043 7173.845135
0.700404 7250.019954
0.707752 7326.364307
0.715112 7402.510262
0.722460 7478.844800
0.729822 7555.024149
0.737170 7631.359740
0.744530 7707.504064
0.751878 7783.846943
0.759240 7860.021620
0.766587 7936.354690
0.773947 8012.496451
0.781296 8088.837628
0.788657 8165.015917
0.796006 8241.314227
0.803365 8317.486891
0.810713 8393.823777
0.818075 8469.990224
0.825423 8546.340333
0.832783 8622.475065
0.840131 8698.802344
0.847492 8774.972867
0.854840 8851.312723
0.862200 8927.443918
0.869555 9003.205645
0.876903 9079.889362
0.882382 9140.639574
