time,displacement_u_y,load_rf_y,nonlinear_iterations,simulation_time,sum_nonlinear_iterations,total_increments
0,0,0,0,0,0,0
0.01,0,0,0,7.710652225,0,1
0.025,0.0003513153870874,3.5048931407567,1,56.466031514,1,2
0.0475,0.00069509038127551,7.780919132289,1,86.732800059,2,3
0.08125,0.0012105015641791,13.33303054618,1,105.132459898,3,4
0.131875,0.0019598169453964,22.202379416491,1,121.236379525,4,5
0.2078125,0.0030697588284253,34.691803583038,1,137.441032786,5,6
0.32171875,0.0047890949049059,53.989144628802,1,153.523246879,6,7
0.492578125,0.0073990881057231,83.925362479276,1,169.667007602,7,8
0.7488671875,0.011309801260304,127.57775863078,1,185.847433012,8,9
1.13330078125,0.017124211410756,191.94777335361,1,201.960779225,9,10
1.63330078125,0.024670712837717,277.76317598592,1,218.515843487,10,11
2.13330078125,0.032278056623916,367.50165757217,1,234.885906719,11,12
2.63330078125,0.03993318995643,456.5635922847,1,251.287120433,12,13
3.13330078125,0.047644864305314,546.77464972106,1,267.764672591,13,14
3.63330078125,0.055387184062776,636.26577908164,1,283.977118514,14,15
4.13330078125,0.063137843573621,725.98899765427,1,300.547036706,15,16
4.63330078125,0.070899668461243,815.32215089909,1,316.978307084,16,17
5.13330078125,0.078658543461745,904.24131900197,1,333.57535427,17,18
5.63330078125,0.086421701093914,992.41540215154,1,350.26689935,18,19
6.13330078125,0.094180869396328,1078.8054652472,1,366.552524989,19,20
6.63330078125,0.10193566083138,1164.7630329563,1,383.249973149,20,21
7.13330078125,0.10968458935674,1251.3700248033,1,399.622680478,21,22
7.63330078125,0.11743299189486,1337.3883947943,1,416.246497948,22,23
8.13330078125,0.12515137744073,1425.0822970294,1,432.781042364,23,24
8.63330078125,0.13292371840484,1511.2077971774,1,449.513188671,24,25
9.13330078125,0.14062800283935,1599.001034407,1,466.037328821,25,26
9.63330078125,0.14836883154654,1686.4482348848,1,482.61962207,26,27
10.13330078125,0.15606908889828,1774.8947250042,1,499.704927153,27,28
10.63330078125,0.16378162361012,1863.3848608834,1,516.706117411,28,29
